"FROM_ACCT_ID","TO_ACCT_ID","DESCRIPTION","AMOUNT"
1000,921,"transfer",1000
1000,662,"transfer",1000
1000,506,"transfer",1000
1000,366,"transfer",1000
1000,140,"transfer",1000
1,672,"transfer",1000
1,584,"transfer",1000
1,259,"transfer",1000
1,644,"transfer",1000
1,418,"transfer",1000
2,833,"transfer",1000
2,840,"transfer",1000
2,493,"transfer",1000
2,693,"transfer",1000
2,546,"transfer",1000
3,175,"transfer",1000
3,470,"transfer",1000
3,352,"transfer",1000
3,579,"transfer",1000
3,85,"transfer",100000
4,330,"transfer",1000
4,646,"transfer",1000
4,263,"transfer",1000
4,403,"transfer",1000
4,856,"transfer",1000
5,562,"transfer",1000
5,693,"transfer",1000
5,595,"transfer",1000
5,513,"transfer",1000
5,744,"transfer",1000
6,457,"transfer",1000
6,614,"transfer",1000
6,327,"transfer",1000
6,140,"transfer",1000
6,580,"transfer",1000
7,380,"transfer",1000
7,338,"transfer",1000
7,891,"transfer",1000
7,722,"transfer",1000
7,58,"transfer",1000
8,150,"transfer",1000
8,333,"transfer",1000
8,292,"transfer",1000
8,757,"transfer",10000
8,831,"transfer",1000
9,177,"transfer",1000
9,493,"transfer",1000
9,388,"transfer",1000
9,915,"transfer",1000
9,441,"transfer",1000
10,54,"transfer",1000
10,478,"transfer",1000
10,745,"transfer",1000
10,491,"transfer",1000
10,856,"transfer",1000
11,730,"transfer",1000
11,131,"transfer",1000
11,468,"transfer",1000
11,756,"transfer",1000
11,88,"transfer",1000
12,534,"transfer",1000
12,633,"transfer",1000
12,740,"transfer",1000
12,524,"transfer",1000
12,458,"transfer",1000
13,778,"transfer",1000
13,959,"transfer",1000
13,19,"transfer",1000
13,749,"transfer",1000
13,970,"transfer",1000
14,255,"transfer",1000
14,668,"transfer",1000
14,383,"transfer",1000
14,688,"transfer",1000
14,845,"transfer",1000
15,511,"transfer",1000
15,534,"transfer",1000
15,412,"transfer",1000
15,833,"transfer",1000
15,208,"transfer",1000
16,559,"transfer",1000
16,534,"transfer",1000
16,830,"transfer",1000
16,648,"transfer",1000
16,606,"transfer",1000
17,348,"transfer",1000
17,340,"transfer",1000
17,261,"transfer",1000
17,418,"transfer",1000
17,584,"transfer",1000
18,615,"transfer",1000
18,662,"transfer",1000
18,789,"transfer",1000
18,830,"transfer",1000
18,276,"transfer",1000
19,801,"transfer",1000
19,595,"transfer",1000
19,261,"transfer",1000
19,439,"transfer",1000
19,525,"transfer",1000
20,110,"transfer",1000
20,245,"transfer",1000
20,406,"transfer",1000
20,582,"transfer",1000
20,832,"transfer",1000
21,261,"transfer",1000
21,352,"transfer",1000
21,434,"transfer",1000
21,691,"transfer",1000
21,980,"transfer",10000
22,101,"transfer",1000
22,844,"transfer",1000
22,635,"transfer",1000
22,492,"transfer",1000
22,585,"transfer",1000
23,435,"transfer",1000
23,257,"transfer",1000
23,302,"transfer",1000
23,528,"transfer",1000
23,934,"transfer",1000
24,637,"transfer",1000
24,207,"transfer",1000
24,58,"transfer",1000
24,203,"transfer",1000
24,523,"transfer",1000
25,871,"transfer",1000
25,241,"transfer",1000
25,226,"transfer",1000
25,778,"transfer",1000
25,352,"transfer",1000
26,125,"transfer",1000
26,524,"transfer",1000
26,397,"transfer",1000
26,872,"transfer",1000
26,127,"transfer",1000
27,860,"transfer",1000
27,91,"transfer",1000
27,795,"transfer",1000
27,759,"transfer",1000
27,118,"transfer",1000
28,981,"transfer",1000
28,387,"transfer",1000
28,934,"transfer",1000
28,109,"transfer",1000
28,448,"transfer",1000
