"FRAUDFOUND","WEEKOFMONTH","DAYOFWEEK","MAKE","ACCIDENTAREA","DAYOFWEEKCLAIMED","MONTHCLAIMED","WEEKOFMONTHCLAIMED","SEX","MARITALSTATUS","FAULT","VEHICLECATEGORY","VEHICLEPRICE","POLICYNUMBER","REPNUMBER","DEDUCTIBLE","DRIVERRATING","DAYS:POLICY-ACCIDENT","DAYS:POLICY-CLAIM","PASTNUMBEROFCLAIMS","AGEOFVEHICLE","AGEOFPOLICYHOLDER","POLICEREPORTFILED","WITNESSPRESENT","AGENTTYPE","NUMBEROFSUPPLIMENTS","ADDRESSCHANGE-CLAIM","NUMBEROFCARS","BASEPOLICY"
"Yes",5,"Friday","Pontiac","Rural","Monday","Jan",5,"Male","Single","PolicyHolder","Sedan","40_000 to 59_000",901,7,400,1,"morethan30","morethan30","none","6years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Sunday","Toyota","Urban","Friday","May",2,"Female","Married","ThirdParty","Sedan","20_000 to 29_000",903,11,400,3,"morethan30","morethan30","1","6years","36to40","No","No","External","none","nochange","3to4","Collision"
"Yes",5,"Friday","Toyota","Urban","Friday","Feb",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",906,13,400,1,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",5,"Friday","Toyota","Urban","Tuesday","Feb",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",911,16,400,2,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","morethan5","1year","1vehicle","AllPerils"
"Yes",5,"Saturday","Chevrolet","Urban","Thursday","Feb",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",937,14,400,4,"morethan30","morethan30","1","5years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",5,"Sunday","Mazda","Rural","Friday","Mar",4,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",946,6,400,3,"morethan30","morethan30","2to4","5years","41to50","No","No","External","1to2","4to8years","2vehicles","AllPerils"
"Yes",5,"Sunday","Pontiac","Rural","Tuesday","Feb",1,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",950,15,400,3,"morethan30","morethan30","2to4","7years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"Yes",5,"Monday","Honda","Urban","Tuesday","Feb",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",955,3,400,3,"morethan30","morethan30","1","6years","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",3,"Monday","Ford","Urban","Wednesday","Jul",3,"Male","Married","ThirdParty","Sedan","more than 69_000",956,12,400,1,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"No",3,"Friday","Ford","Urban","Thursday","Jun",4,"Male","Married","ThirdParty","Sedan","60_000 to 69_000",958,3,400,4,"morethan30","morethan30","2to4","morethan7","41to50","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",5,"Monday","Toyota","Urban","Tuesday","Feb",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",961,7,400,3,"1to7","8to15","none","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",5,"Monday","Honda","Rural","Tuesday","Feb",1,"Male","Single","PolicyHolder","Sport","more than 69_000",964,4,400,3,"morethan30","morethan30","none","3years","21to25","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Tuesday","Pontiac","Urban","Wednesday","Feb",1,"Female","Married","PolicyHolder","Sedan","less than 20_000",968,14,400,3,"morethan30","morethan30","none","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",2,"Wednesday","Pontiac","Urban","Friday","Nov",2,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",972,5,400,3,"morethan30","morethan30","none","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",4,"Saturday","Pontiac","Urban","Monday","Jun",4,"Female","Single","PolicyHolder","Sedan","30_000 to 39_000",988,2,400,1,"morethan30","morethan30","2to4","5years","31to35","No","No","External","morethan5","4to8years","2vehicles","Collision"
"No",3,"Friday","Honda","Urban","Monday","Jul",1,"Male","Married","ThirdParty","Sedan","less than 20_000",989,7,400,2,"morethan30","morethan30","morethan4","7years","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",1,"Wednesday","Pontiac","Urban","Monday","Jun",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",992,1,400,3,"morethan30","morethan30","2to4","6years","41to50","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Wednesday","Pontiac","Rural","Friday","Feb",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",999,6,400,2,"morethan30","morethan30","none","7years","31to35","No","No","External","3to5","nochange","1vehicle","AllPerils"
"No",2,"Saturday","Mazda","Urban","Tuesday","May",2,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",1000,10,400,1,"morethan30","morethan30","2to4","6years","36to40","No","No","External","none","nochange","1vehicle","Liability"
"Yes",1,"Wednesday","Accura","Urban","Monday","Feb",2,"Male","Married","PolicyHolder","Sport","30_000 to 39_000",1003,7,400,4,"morethan30","morethan30","morethan4","morethan7","over65","No","No","External","morethan5","nochange","1vehicle","Liability"
"Yes",2,"Friday","Mazda","Urban","Monday","Nov",3,"Male","Married","ThirdParty","Sedan","30_000 to 39_000",1021,5,500,4,"morethan30","morethan30","1","morethan7","36to40","No","No","External","none","2to3years","1vehicle","Collision"
"Yes",1,"Thursday","Accura","Urban","Monday","Feb",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",1024,1,700,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",3,"Saturday","Accura","Urban","Sunday","Jan",1,"Male","Married","ThirdParty","Sedan","more than 69_000",1025,4,400,1,"morethan30","morethan30","2to4","morethan7","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",1,"Thursday","Chevrolet","Urban","Saturday","Apr",1,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",1028,6,400,1,"morethan30","morethan30","2to4","7years","36to40","No","No","External","1to2","nochange","1vehicle","AllPerils"
"No",4,"Tuesday","Honda","Urban","Friday","Jul",2,"Male","Married","ThirdParty","Sport","more than 69_000",1049,5,400,3,"morethan30","morethan30","1","7years","41to50","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Friday","Pontiac","Urban","Friday","Feb",2,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",1055,14,700,3,"morethan30","morethan30","none","7years","31to35","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Saturday","Chevrolet","Urban","Monday","Feb",2,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",1063,6,400,3,"morethan30","morethan30","2to4","7years","36to40","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",4,"Monday","Mazda","Urban","Tuesday","Oct",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",1070,1,400,1,"morethan30","morethan30","none","5years","31to35","No","No","External","1to2","nochange","1vehicle","Collision"
"Yes",1,"Saturday","Honda","Rural","Thursday","Feb",2,"Male","Single","PolicyHolder","Sedan","more than 69_000",1072,8,400,3,"morethan30","morethan30","none","new","16to17","No","No","External","none","2to3years","2vehicles","Collision"
"Yes",1,"Saturday","Honda","Urban","Monday","Feb",3,"Male","Single","PolicyHolder","Sedan","more than 69_000",1073,3,400,1,"morethan30","morethan30","morethan4","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",1,"Saturday","Chevrolet","Urban","Tuesday","Feb",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",1080,4,400,2,"morethan30","morethan30","2to4","6years","31to35","No","No","External","none","nochange","1vehicle","Collision"
"No",1,"Sunday","Toyota","Urban","Tuesday","Feb",4,"Male","Single","ThirdParty","Sedan","more than 69_000",1086,10,400,4,"morethan30","morethan30","1","5years","26to30","No","No","External","none","nochange","1vehicle","Collision"
"Yes",1,"Sunday","Honda","Rural","Monday","Feb",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",1089,4,400,1,"morethan30","morethan30","1","7years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",3,"Wednesday","Honda","Urban","Thursday","Aug",3,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",1099,14,400,4,"morethan30","morethan30","2to4","6years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Tuesday","Pontiac","Urban","Monday","Feb",4,"Male","Married","PolicyHolder","Sedan","30_000 to 39_000",1115,7,400,1,"morethan30","morethan30","2to4","5years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"No",4,"Friday","Honda","Urban","Tuesday","Aug",5,"Male","Married","ThirdParty","Sedan","20_000 to 29_000",1118,6,400,3,"morethan30","morethan30","2to4","morethan7","51to65","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"No",5,"Wednesday","Honda","Urban","Tuesday","Jan",1,"Female","Single","PolicyHolder","Sport","more than 69_000",1,12,300,1,"morethan30","morethan30","none","3years","26to30","No","No","External","none","1year","3to4","Liability"
"Yes",1,"Saturday","Honda","Urban","Tuesday","Sep",4,"Male","Single","PolicyHolder","Sedan","more than 69_000",29,9,400,1,"morethan30","morethan30","none","new","16to17","No","No","External","none","nochange","1vehicle","AllPerils"
"Yes",3,"Sunday","Honda","Rural","Wednesday","Jan",4,"Male","Married","PolicyHolder","Sport","more than 69_000",53,4,400,4,"morethan30","morethan30","none","4years","26to30","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",4,"Saturday","Honda","Urban","Wednesday","Aug",2,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",54,13,400,1,"morethan30","morethan30","none","morethan7","41to50","No","No","External","3to5","nochange","1vehicle","Collision"
"No",4,"Saturday","Toyota","Urban","Friday","Mar",1,"Female","Married","ThirdParty","Sedan","30_000 to 39_000",80,10,400,1,"morethan30","morethan30","2to4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","Collision"
"Yes",2,"Thursday","Honda","Urban","Friday","Jan",3,"Male","Single","PolicyHolder","Sport","more than 69_000",95,7,400,3,"morethan30","morethan30","none","7years","31to35","No","No","External","3to5","nochange","1vehicle","Collision"
"Yes",2,"Friday","Toyota","Urban","Tuesday","Jan",1,"Male","Married","PolicyHolder","Sedan","20_000 to 29_000",97,7,400,2,"morethan30","morethan30","1","7years","36to40","No","No","External","none","nochange","1vehicle","Collision"
"Yes",3,"Tuesday","Chevrolet","Urban","Wednesday","Jan",2,"Male","Married","PolicyHolder","Utility","more than 69_000",101,2,400,1,"morethan30","morethan30","morethan4","7years","31to35","No","No","External","morethan5","nochange","1vehicle","AllPerils"
"Yes",4,"Thursday","Accura","Rural","Tuesday","Jan",2,"Male","Married","PolicyHolder","Utility","more than 69_000",114,10,400,2,"morethan30","morethan30","none","morethan7","51to65","No","No","External","none","nochange","1vehicle","AllPerils"
"No",2,"Monday","Pontiac","Urban","Tuesday","Aug",5,"Male","Single","PolicyHolder","Sport","20_000 to 29_000",118,4,400,3,"morethan30","morethan30","2to4","6years","31to35","No","No","External","3to5","nochange","1vehicle","Liability"
"Yes",5,"Monday","Mazda","Urban","Wednesday","Dec",1,"Male","Single","PolicyHolder","Sedan","20_000 to 29_000",119,9,400,3,"morethan30","morethan30","2to4","5years","over65","No","No","External","none","nochange","1vehicle","AllPerils"
