"CUST_ID","CUST_GENDER","AGE","CUST_MARITAL_STATUS","COUNTRY_NAME","CUST_INCOME_LEVEL","EDUCATION","OCCUPATION","HOUSEHOLD_SIZE","YRS_RESIDENCE","AFFINITY_CARD","BULK_PACK_DISKETTES","FLAT_PANEL_MONITOR","HOME_THEATER_PACKAGE","BOOKKEEPING_APPLICATION","PRINTER_SUPPLIES","Y_BOX_GAMES","OS_DOC_SET_KANJI"
100001,"F",62,"Widowed","United States of America","G: 130,000 - 149,999","< Bach.","Exec.","2",3,0,0,0,1,1,1,0,0
100002,"F",41,"NeverM","United States of America","L: 300,000 and above","Bach.","Prof.","2",4,0,1,1,1,1,1,0,0
100003,"M",34,"NeverM","United States of America","K: 250,000 - 299,999","< Bach.","Sales","2",6,0,1,1,0,1,1,0,0
100004,"F",50,"Divorc.","United States of America","K: 250,000 - 299,999","< Bach.","Sales","2",5,0,1,1,1,1,1,0,0
100005,"M",46,"Married","United States of America","B: 30,000 - 49,999","Assoc-A","Crafts","3",5,1,0,0,1,1,1,0,0
100006,"F",20,"NeverM","United States of America","G: 130,000 - 149,999","< Bach.","Prof.","9+",2,0,0,0,0,1,1,1,0
100007,"F",40,"Divorc.","United States of America","L: 300,000 and above","HS-grad","Other","2",5,0,1,1,1,1,1,0,0
100008,"M",41,"NeverM","United States of America","J: 190,000 - 249,999","< Bach.","Crafts","2",5,0,1,1,1,1,1,0,0
100009,"M",29,"Married","United States of America","G: 130,000 - 149,999","Bach.","Prof.","3",3,1,0,0,0,1,1,1,0
100010,"M",28,"Married","United States of America","L: 300,000 and above","HS-grad","Crafts","3",3,0,1,1,0,1,1,1,0
100011,"M",31,"NeverM","Brazil","F: 110,000 - 129,999","9th","Farming","2",3,0,0,0,0,0,1,0,0
100012,"M",35,"Married","Singapore","H: 150,000 - 169,999","PhD","Prof.","3",4,1,1,0,1,1,1,0,0
100013,"M",42,"Married","United States of America","D: 70,000 - 89,999","HS-grad","Transp.","3",5,0,0,0,1,1,1,0,0
100014,"F",49,"Divorc.","United States of America","B: 30,000 - 49,999","HS-grad","Cleric.","2",5,0,0,0,1,1,1,0,0
100015,"M",44,"Separ.","United Kingdom","L: 300,000 and above","< Bach.","Exec.","2",6,0,1,1,1,1,1,0,0
100016,"F",34,"Divorc.","United States of America","K: 250,000 - 299,999","HS-grad","Exec.","9+",4,0,1,1,0,1,1,0,0
100017,"F",68,"Mabsent","United States of America","I: 170,000 - 189,999","< Bach.","Farming","9+",5,0,1,1,1,1,1,0,0
100018,"F",27,"Married","United States of America","A: Below 30,000","< Bach.","Handler","4-5",3,0,0,0,0,1,1,1,1
100019,"M",32,"Married","United States of America","E: 90,000 - 109,999","Assoc-V","Transp.","3",4,1,0,0,0,1,1,0,0
100020,"F",57,"Divorc.","United States of America","J: 190,000 - 249,999","Masters","Other","9+",6,0,1,1,1,1,1,0,0
100021,"M",39,"Married","United States of America","I: 170,000 - 189,999","HS-grad","Exec.","3",4,0,1,1,1,1,1,0,0
100022,"M",38,"Married","United States of America","I: 170,000 - 189,999","Assoc-V","Exec.","3",5,1,1,1,1,1,1,0,0
100023,"M",54,"Married","United States of America","J: 190,000 - 249,999","HS-grad","Sales","3",8,0,1,1,1,1,1,0,0
100024,"M",51,"Married","United States of America","F: 110,000 - 129,999","HS-grad","Crafts","3",5,0,0,0,1,1,1,0,0
100025,"F",26,"NeverM","United States of America","H: 150,000 - 169,999","Assoc-A","Prof.","2",3,0,1,0,0,1,1,1,0
100026,"M",30,"Married","United States of America","L: 300,000 and above","Bach.","Sales","3",3,0,1,1,0,1,1,0,0
100027,"M",34,"Married","United States of America","L: 300,000 and above","9th","Crafts","3",3,0,1,1,0,0,1,0,0
