"CUST_ID","CUST_GENDER","AGE","CUST_MARITAL_STATUS","COUNTRY_NAME","CUST_INCOME_LEVEL","EDUCATION","OCCUPATION","HOUSEHOLD_SIZE","YRS_RESIDENCE","AFFINITY_CARD","BULK_PACK_DISKETTES","FLAT_PANEL_MONITOR","HOME_THEATER_PACKAGE","BOOKKEEPING_APPLICATION","PRINTER_SUPPLIES","Y_BOX_GAMES","OS_DOC_SET_KANJI"
101501,"F",41,"NeverM","United States of America","J: 190,000 - 249,999","Masters","Prof.","2",4,0,1,1,1,1,1,0,0
101502,"M",27,"NeverM","United States of America","I: 170,000 - 189,999","Bach.","Sales","2",3,0,1,1,0,1,1,1,0
101503,"F",20,"NeverM","United States of America","H: 150,000 - 169,999","HS-grad","Cleric.","2",2,0,1,0,0,1,1,1,0
101504,"M",45,"Married","United States of America","B: 30,000 - 49,999","Bach.","Exec.","3",5,1,0,0,1,1,1,0,0
101505,"M",34,"NeverM","United States of America","K: 250,000 - 299,999","Masters","Sales","9+",5,1,1,1,0,1,1,0,0
101506,"M",38,"Married","United States of America","K: 250,000 - 299,999","HS-grad","Other","3",4,0,1,1,1,1,1,0,0
101507,"M",28,"Married","United States of America","J: 190,000 - 249,999","< Bach.","Sales","3",3,0,1,1,0,1,1,1,0
101508,"M",19,"NeverM","United States of America","K: 250,000 - 299,999","HS-grad","Sales","2",2,0,1,1,0,1,1,1,0
101509,"M",52,"Married","Brazil","K: 250,000 - 299,999","Bach.","Other","3",5,0,1,1,1,1,1,0,0
101510,"M",27,"NeverM","United States of America","L: 300,000 and above","Bach.","Sales","2",3,1,1,1,0,1,1,1,0
101511,"M",30,"NeverM","United States of America","H: 150,000 - 169,999","Bach.","Sales","2",5,0,1,0,0,1,1,0,0
101512,"F",30,"NeverM","United States of America","I: 170,000 - 189,999","Profsc","Prof.","2",4,0,1,1,0,1,1,0,0
101513,"M",31,"Married","United States of America","J: 190,000 - 249,999","Bach.","Sales","3",3,0,1,1,0,1,1,0,0
101514,"M",45,"NeverM","United States of America","L: 300,000 and above","HS-grad","Sales","2",5,0,1,1,1,1,1,0,0
101515,"F",36,"NeverM","United States of America","J: 190,000 - 249,999","11th","Other","9+",2,0,1,1,1,0,1,0,0
101516,"M",33,"Married","United States of America","G: 130,000 - 149,999","< Bach.","Exec.","3",4,0,0,0,0,1,1,0,0
