"CUST_ID","CUST_GENDER","AGE","CUST_MARITAL_STATUS","COUNTRY_NAME","CUST_INCOME_LEVEL","EDUCATION","OCCUPATION","HOUSEHOLD_SIZE","YRS_RESIDENCE","AFFINITY_CARD","BULK_PACK_DISKETTES","FLAT_PANEL_MONITOR","HOME_THEATER_PACKAGE","BOOKKEEPING_APPLICATION","PRINTER_SUPPLIES","Y_BOX_GAMES","OS_DOC_SET_KANJI","COMMENTS"
100001,"F",62,"Widowed","United States of America","G: 130,000 - 149,999","< Bach.","Exec.","2",3,0,0,0,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100002,"F",41,"NeverM","United States of America","L: 300,000 and above","Bach.","Prof.","2",4,0,1,1,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything"
100003,"M",34,"NeverM","United States of America","K: 250,000 - 299,999","< Bach.","Sales","2",6,0,1,1,0,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety"
100004,"F",50,"Divorc.","United States of America","K: 250,000 - 299,999","< Bach.","Sales","2",5,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry."
100005,"M",46,"Married","United States of America","B: 30,000 - 49,999","Assoc-A","Crafts","3",5,1,0,0,1,1,1,0,0,"Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail."
100006,"F",20,"NeverM","United States of America","G: 130,000 - 149,999","< Bach.","Prof.","9+",2,0,0,0,0,1,1,1,0,"I am not going to waste my time filling up this three page form. Lousy idea."
100007,"F",40,"Divorc.","United States of America","L: 300,000 and above","HS-grad","Other","2",5,0,1,1,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry."
100008,"M",41,"NeverM","United States of America","J: 190,000 - 249,999","< Bach.","Crafts","2",5,0,1,1,1,1,1,0,0,"I shop your store a lot.  I love your weekly specials."
100009,"M",29,"Married","United States of America","G: 130,000 - 149,999","Bach.","Prof.","3",3,1,0,0,0,1,1,1,0,"Thank you! But I am very unhappy with all the junk mail you keep sending."
100010,"M",28,"Married","United States of America","L: 300,000 and above","HS-grad","Crafts","3",3,0,1,1,0,1,1,1,0,"I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card"
100011,"M",31,"NeverM","Brazil","F: 110,000 - 129,999","9th","Farming","2",3,0,0,0,0,0,1,0,0,"I love the new on-line documentation."
100012,"M",35,"Married","Singapore","H: 150,000 - 169,999","PhD","Prof.","3",4,1,1,0,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry."
100013,"M",42,"Married","United States of America","D: 70,000 - 89,999","HS-grad","Transp.","3",5,0,0,0,1,1,1,0,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100014,"F",49,"Divorc.","United States of America","B: 30,000 - 49,999","HS-grad","Cleric.","2",5,0,0,0,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by."
100015,"M",44,"Separ.","United Kingdom","L: 300,000 and above","< Bach.","Exec.","2",6,0,1,1,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions."
100016,"F",34,"Divorc.","United States of America","K: 250,000 - 299,999","HS-grad","Exec.","9+",4,0,1,1,0,1,1,0,0,"I am not going to waste my time filling up this three page form. Lousy idea."
100017,"F",68,"Mabsent","United States of America","I: 170,000 - 189,999","< Bach.","Farming","9+",5,0,1,1,1,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100018,"F",27,"Married","United States of America","A: Below 30,000","< Bach.","Handler","4-5",3,0,0,0,0,1,1,1,1,"I love the new on-line documentation."
100019,"M",32,"Married","United States of America","E: 90,000 - 109,999","Assoc-V","Transp.","3",4,1,0,0,0,1,1,0,0,"Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail."
100020,"F",57,"Divorc.","United States of America","J: 190,000 - 249,999","Masters","Other","9+",6,0,1,1,1,1,1,0,0,"Don't send me any more promotions.  I get too much lousy junk mail already"
100021,"M",39,"Married","United States of America","I: 170,000 - 189,999","HS-grad","Exec.","3",4,0,1,1,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100022,"M",38,"Married","United States of America","I: 170,000 - 189,999","Assoc-V","Exec.","3",5,1,1,1,1,1,1,0,0,"Does this discount work if you live in Australia?I've moved and I would like to purchase a few items as gifts but want the discount.  Have you ever considered offering free shipping?"
100023,"M",54,"Married","United States of America","J: 190,000 - 249,999","HS-grad","Sales","3",8,0,1,1,1,1,1,0,0,""
100024,"M",51,"Married","United States of America","F: 110,000 - 129,999","HS-grad","Crafts","3",5,0,0,0,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything"
100025,"F",26,"NeverM","United States of America","H: 150,000 - 169,999","Assoc-A","Prof.","2",3,0,1,0,0,1,1,1,0,"Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail."
100026,"M",30,"Married","United States of America","L: 300,000 and above","Bach.","Sales","3",3,0,1,1,0,1,1,0,0,"Why didn't you start a program like this before? Everyone else has been offering discounts like this for years."
100027,"M",34,"Married","United States of America","L: 300,000 and above","9th","Crafts","3",3,0,1,1,0,0,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100028,"F",32,"NeverM","United States of America","E: 90,000 - 109,999","Bach.","Cleric.","2",4,0,0,0,0,1,1,0,0,"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."
100029,"M",41,"Married","United States of America","I: 170,000 - 189,999","Assoc-A","TechSup","3",5,1,1,1,1,1,1,0,0,"Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail."
100030,"F",23,"Divorc.","United States of America","I: 170,000 - 189,999","HS-grad","Other","2",2,0,1,1,0,1,1,1,0,"I love the new on-line documentation."
100031,"F",36,"Divorc.","Denmark","H: 150,000 - 169,999","Bach.","Sales","6-8",4,0,1,0,1,1,1,0,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100032,"M",38,"NeverM","United States of America","J: 190,000 - 249,999","HS-grad","Cleric.","2",4,0,1,1,1,1,1,0,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100033,"M",45,"Divorc.","United States of America","J: 190,000 - 249,999","HS-grad","Machine","9+",5,0,1,1,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100034,"M",40,"Married","Singapore","L: 300,000 and above","PhD","Prof.","3",4,1,1,1,1,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100035,"F",30,"Married","United States of America","H: 150,000 - 169,999","Bach.","Prof.","4-5",4,1,1,0,0,1,1,0,0,"Thank you! But I am very unhappy with all the junk mail you keep sending."
100036,"M",49,"Married","United States of America","L: 300,000 and above","Bach.","Exec.","3",6,0,1,1,1,1,1,0,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100037,"M",46,"Separ.","United States of America","J: 190,000 - 249,999","Profsc","Prof.","2",6,1,1,1,1,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas"
100038,"F",23,"Married","United States of America","G: 130,000 - 149,999","HS-grad","Cleric.","6-8",2,0,0,0,0,1,1,1,0,"Don't send me any more promotions.  I get too much lousy junk mail already"
100039,"M",33,"Married","United States of America","J: 190,000 - 249,999","Assoc-A","Prof.","3",3,1,1,1,0,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100040,"F",17,"NeverM","United States of America","J: 190,000 - 249,999","11th","Sales","1",0,0,1,1,0,0,1,1,0,""
100041,"F",21,"NeverM","United States of America","L: 300,000 and above","HS-grad","Handler","1",2,0,1,1,0,1,1,1,0,""
100042,"M",37,"Married","United States of America","J: 190,000 - 249,999","Bach.","Prof.","3",1,1,1,1,1,1,1,0,0,"I am not going to waste my time filling up this three page form. Lousy idea."
100043,"M",24,"NeverM","United States of America","G: 130,000 - 149,999","HS-grad","Other","1",2,0,0,0,0,1,1,1,0,"Great program.  Love the discount. Signed happy customer."
100044,"M",23,"NeverM","United States of America","G: 130,000 - 149,999","HS-grad","Sales","2",2,0,0,0,0,1,1,1,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100045,"M",33,"Married","United States of America","L: 300,000 and above","Assoc-A","Sales","3",5,0,1,1,0,1,1,0,0,"The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?"
100046,"M",41,"Married","United States of America","F: 110,000 - 129,999","< Bach.","Exec.","3",5,1,0,0,1,1,1,0,0,"I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother."
100047,"M",23,"NeverM","United States of America","C: 50,000 - 69,999","HS-grad","Cleric.","1",2,0,0,0,0,1,1,1,0,"I am not going to waste my time filling up this three page form. Lousy idea."
100048,"M",23,"NeverM","United States of America","I: 170,000 - 189,999","HS-grad","Sales","1",2,0,1,1,0,1,1,1,0,"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."
100049,"F",55,"Divorc.","United States of America","L: 300,000 and above","HS-grad","Machine","2",6,0,1,1,1,1,1,0,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100050,"M",24,"NeverM","Argentina","F: 110,000 - 129,999","12th","Machine","9+",2,0,0,0,0,0,1,1,0,"I shop your store a lot.  I love your weekly specials."
100051,"F",44,"Divorc.","United States of America","L: 300,000 and above","HS-grad","Handler","2",6,0,1,1,1,1,1,0,0,"Affinity card makese sense only for bulk purchases. For all others, driving so far is not worth the discount. Either offer free shipping or build a store close by."
100052,"M",46,"Married","United States of America","H: 150,000 - 169,999","Masters","Exec.","3",6,1,1,0,1,1,1,0,0,"My sister told me about your store and I was impressed. Now I use it for all my shopping here."
100053,"M",69,"Married","United States of America","F: 110,000 - 129,999","HS-grad","TechSup","3",5,0,0,0,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100054,"F",35,"NeverM","United States of America","J: 190,000 - 249,999","HS-grad","Exec.","2",4,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with."
100055,"F",25,"Married","United States of America","J: 190,000 - 249,999","< Bach.","Exec.","4-5",1,0,1,1,0,1,1,1,0,"I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?"
100056,"M",44,"Married","United States of America","F: 110,000 - 129,999","Bach.","TechSup","3",4,0,0,0,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy."
100057,"M",41,"Married","United States of America","L: 300,000 and above","Bach.","Prof.","3",4,1,1,1,1,1,1,0,0,"This Affinity Card is great.I am delighted that you sent me one as I 've only shopped at your store once. I was so pleased to be included in your program that I immediately purchased a new flat panel monitor."
100058,"M",42,"Married","United States of America","H: 150,000 - 169,999","< Bach.","Farming","3",6,0,1,1,1,1,1,0,0,"I love the discounts. But I mostly end upbuying  things I do not need."
100059,"M",49,"Divorc.","United States of America","E: 90,000 - 109,999","HS-grad","Sales","2",6,1,0,0,1,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100060,"F",34,"Mabsent","United States of America","G: 130,000 - 149,999","HS-grad","Other","9+",6,0,0,0,0,1,1,0,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100061,"M",44,"Divorc.","United States of America","D: 70,000 - 89,999","Assoc-V","TechSup","9+",4,0,0,0,1,1,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything"
100062,"F",40,"NeverM","United States of America","K: 250,000 - 299,999","Bach.","TechSup","2",5,0,1,1,1,1,1,0,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100063,"M",53,"Married","United States of America","E: 90,000 - 109,999","HS-grad","TechSup","3",5,1,0,0,1,1,1,0,0,"If I forget my affinity card, can I still shop here and get the discount?"
100064,"M",53,"Married","United States of America","G: 130,000 - 149,999","HS-grad","Machine","3",5,0,0,0,1,1,1,0,0,"I just purchased a computer from your store last month.  Why didn't you offer this discount then?"
100065,"M",54,"Divorc.","United States of America","I: 170,000 - 189,999","HS-grad","Transp.","2",5,0,1,1,1,1,1,0,0,"It is a good way to attract new shoppers. After shopping at your store for more than a month, I am ready to move on though. Not enough variety"
100066,"M",46,"Married","United States of America","L: 300,000 and above","Bach.","Prof.","3",6,1,1,1,1,1,1,0,0,"I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?"
100067,"M",41,"NeverM","United States of America","H: 150,000 - 169,999","Bach.","TechSup","2",4,0,1,0,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100068,"M",61,"Married","United States of America","C: 50,000 - 69,999","HS-grad","Exec.","3",6,1,0,0,1,1,1,0,0,"Can I apply my discount to a purchase I made last month? Excellent program.  Thanks"
100069,"F",45,"Divorc.","United States of America","G: 130,000 - 149,999","Profsc","Prof.","9+",5,0,0,0,1,1,1,0,0,"I purchased a new computer from your store recently and then received the new discount membership card.  Could I speak with a store manager about getting discounts for my past purchases?"
100070,"M",43,"Married","United States of America","F: 110,000 - 129,999","< Bach.","Crafts","3",5,1,0,0,1,1,1,0,0,"This Affinity Card is great.I am delighted that you sent me one as I 've only shopped at your store once. I was so pleased to be included in your program that I immediately purchased a new flat panel monitor."
100071,"M",28,"Married","United States of America","G: 130,000 - 149,999","< Bach.","Sales","3",4,1,0,0,0,1,1,1,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100072,"M",32,"Mabsent","Argentina","J: 190,000 - 249,999","5th-6th","Crafts","6-8",3,0,1,1,0,0,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100073,"M",44,"Married","United States of America","K: 250,000 - 299,999","PhD","Prof.","3",4,1,1,1,1,1,1,0,0,"I run a small convenience store. Any chance that I would be eligible for larger discounts if I purchase a large quantity of items (bulk purchase)?"
100074,"M",36,"NeverM","United States of America","B: 30,000 - 49,999","HS-grad","Farming","2",5,0,0,0,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions."
100075,"M",39,"Married","United States of America","I: 170,000 - 189,999","Bach.","Crafts","3",4,0,1,1,1,1,1,0,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere."
100076,"M",21,"NeverM","United States of America","K: 250,000 - 299,999","< Bach.","Other","1",2,0,1,1,0,1,1,1,0,"I love the new on-line documentation."
100077,"F",44,"Married","United States of America","K: 250,000 - 299,999","< Bach.","Cleric.","4-5",4,0,1,1,1,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with."
100078,"M",28,"Married","United States of America","J: 190,000 - 249,999","HS-grad","Transp.","3",3,0,1,1,0,1,1,1,0,"I purchased the new mouse pads and love them. I also purchased one for my sister and one for my brother."
100079,"F",25,"NeverM","United States of America","I: 170,000 - 189,999","HS-grad","Crafts","6-8",3,0,1,1,0,1,1,1,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100080,"M",27,"Married","United States of America","G: 130,000 - 149,999","9th","Crafts","3",3,0,0,0,0,0,1,1,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100081,"M",48,"Married","Italy","E: 90,000 - 109,999","Bach.","Exec.","3",7,1,0,0,1,1,1,0,0,"I love it. Will never shop at other shops again!"
100082,"M",28,"NeverM","United States of America","L: 300,000 and above","Bach.","Cleric.","2",3,0,1,1,0,1,1,1,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100083,"F",29,"Divorc.","United States of America","A: Below 30,000","Bach.","Other","9+",3,0,0,0,0,1,1,1,0,"A lousy idea.  I threw your card away. If you want to know what I buy, I'll shop elsewhere."
100084,"F",36,"Widowed","United States of America","I: 170,000 - 189,999","HS-grad","Handler","9+",3,0,1,1,1,1,1,0,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100085,"M",59,"Married","United States of America","H: 150,000 - 169,999","HS-grad","Machine","3",6,1,1,1,1,1,1,0,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100086,"F",19,"NeverM","United States of America","L: 300,000 and above","12th","Other","6-8",1,0,1,1,0,0,1,1,0,"Thanks a lot for my new affinity card. I love the discounts and have since started shopping at your store for everything."
100087,"M",33,"NeverM","United States of America","D: 70,000 - 89,999","Bach.","Prof.","2",5,0,0,0,0,1,1,0,0,"I love the discounts. But I mostly end upbuying  things I do not need."
100088,"M",36,"NeverM","United States of America","L: 300,000 and above","7th-8th","Crafts","9+",4,0,1,1,1,0,1,0,0,"Shopping at your store is a hassle. I rarely shop there and usually forget to bring your new loyalty card and hence never get the items at the sale price.  Can a store manager look up my account on-line?"
100089,"M",68,"Married","United States of America","I: 170,000 - 189,999","Bach.","Exec.","3",7,1,1,1,1,1,1,0,0,"Can I apply my discount to a purchase I made last month? Excellent program.  Thanks"
100090,"F",42,"NeverM","United States of America","I: 170,000 - 189,999","Bach.","Exec.","2",4,0,1,1,1,1,1,0,0,"The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?"
100091,"M",41,"Married","United States of America","F: 110,000 - 129,999","Bach.","Exec.","3",4,0,0,0,1,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100092,"M",69,"Divorc.","United States of America","L: 300,000 and above","Bach.","Handler","2",7,0,1,1,1,1,1,0,0,"Don't send me any more promotions.  I get too much lousy junk mail already"
100093,"M",57,"Married","United States of America","L: 300,000 and above","< Bach.","Sales","3",7,0,1,1,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy."
100094,"M",46,"Married","United States of America","C: 50,000 - 69,999","HS-grad","Machine","3",5,1,0,0,1,1,1,0,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100095,"M",37,"Married","United States of America","B: 30,000 - 49,999","Assoc-V","TechSup","3",4,0,0,0,1,1,1,0,0,"I just purchased a computer from your store last month.  Why didn't you offer this discount then?"
100096,"F",45,"NeverM","United States of America","L: 300,000 and above","Masters","Prof.","2",7,0,1,1,1,1,1,0,0,"The new affinity card is great. Thank you. I do  have to say that it is a hassle to remember to bring it  with me when I shop as I only shop at your store  for sale items. Could you keep my record in your computer?"
100097,"F",33,"NeverM","Argentina","I: 170,000 - 189,999","5th-6th","Other","9+",3,0,1,1,0,0,1,0,0,"The more times that I shop at your store, the more times I am impressed.  Don't change anything"
100098,"M",25,"Separ.","United States of America","J: 190,000 - 249,999","11th","Crafts","1",3,0,1,1,0,0,1,1,0,"I purchased a new computer recently, but the manuals weren't included.  Could you ship them to me directly?"
100099,"M",30,"Married","United States of America","L: 300,000 and above","HS-grad","TechSup","3",3,0,1,1,0,1,1,0,0,"Great program.  Love the discount. Signed happy customer."
100100,"F",44,"Married","United States of America","J: 190,000 - 249,999","Masters","Prof.","4-5",4,1,1,1,1,1,1,0,0,"Can I apply my discount to a purchase I made last month? Excellent program.  Thanks"
100101,"M",31,"Married","United States of America","H: 150,000 - 169,999","Bach.","Prof.","3",3,1,1,0,0,1,1,0,0,"A great idea.  Thank you!  Signed, happy in Texas"
100102,"M",37,"NeverM","United States of America","C: 50,000 - 69,999","HS-grad","Crafts","9+",4,0,0,0,1,1,1,0,0,"Dear store manager, please do not send me any more Affinity cards. I do not shop at your store very often and I feel that your new card imposes an invasion on my privacy."
100103,"M",27,"NeverM","United States of America","J: 190,000 - 249,999","HS-grad","Protec.","1",3,0,1,1,0,1,1,1,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100104,"M",21,"Separ.","United States of America","I: 170,000 - 189,999","10th","Machine","1",2,0,1,1,0,0,1,1,0,"I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card"
100105,"M",27,"NeverM","United States of America","J: 190,000 - 249,999","Bach.","Cleric.","1",3,0,1,1,0,1,1,1,0,"I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card"
100106,"F",40,"Married","United States of America","J: 190,000 - 249,999","HS-grad","Exec.","4-5",4,0,1,1,1,1,1,0,0,"I am unhappy with the service at your store. Do not consider me a loyal customer just because I use your Affinity Card"
100107,"M",56,"Divorc.","United States of America","L: 300,000 and above","9th","Cleric.","2",6,0,1,1,1,0,1,0,0,"Affinity card is great. I think it is a hassle to have to remember to bring it in every time though."
100108,"M",48,"Married","United States of America","L: 300,000 and above","Masters","Other","3",5,0,1,1,1,1,1,0,0,"Great program.  Love the discount. Signed happy customer."
100109,"M",46,"Married","United States of America","K: 250,000 - 299,999","Assoc-V","Exec.","3",7,0,1,1,1,1,1,0,0,"My brother uses the affinity card a lot. I think the competitor has better prices without it."
100110,"M",28,"Married","United States of America","B: 30,000 - 49,999","< Bach.","Farming","3",4,0,0,0,0,1,1,1,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100111,"M",33,"NeverM","Denmark","E: 90,000 - 109,999","< Bach.","Sales","2",2,0,0,0,0,1,1,0,0,"I used to shop at your store, but have stopped now. I tried to return some electronic items and your store manager was a pain to deal with."
100112,"M",61,"Married","United States of America","I: 170,000 - 189,999","HS-grad","Machine","3",6,0,1,1,1,1,1,0,0,"Thank you, But please remove my name from your list."
100113,"F",18,"NeverM","United States of America","B: 30,000 - 49,999","12th","Cleric.","1",1,0,0,0,0,0,1,1,0,"Thank you, But please remove my name from your list."
100114,"M",22,"NeverM","United States of America","E: 90,000 - 109,999","10th","Crafts","6-8",2,0,0,0,0,0,1,1,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions."
100115,"M",22,"NeverM","United States of America","F: 110,000 - 129,999","Bach.","Prof.","1",2,0,0,0,0,1,1,1,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100116,"F",40,"Married","United States of America","L: 300,000 and above","Assoc-V","Prof.","4-5",4,0,1,1,1,1,1,0,0,"Forget it. I 'm not giving you all my personal information.  I wish you'd give up and respect a customer's privacy."
100117,"F",35,"Divorc.","United States of America","I: 170,000 - 189,999","HS-grad","Other","2",4,0,1,1,1,1,1,0,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100118,"M",47,"Married","United States of America","L: 300,000 and above","HS-grad","Exec.","3",6,1,1,1,1,1,1,0,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100119,"F",41,"Divorc.","United States of America","G: 130,000 - 149,999","Bach.","Exec.","2",4,0,0,0,1,1,1,0,0,"Thank you, But please remove my name from your list."
100120,"M",41,"Married","United States of America","B: 30,000 - 49,999","Assoc-V","Farming","3",5,0,0,0,1,1,1,0,0,"Thanks but even with your discounts, your products are too expensive. Sorry."
100121,"M",28,"Divorc.","United States of America","I: 170,000 - 189,999","HS-grad","Crafts","2",4,0,1,1,0,1,1,1,0,"Affinity card is a great idea. But your store is still too expensive. I am tired of your lousy junk mail."
100122,"F",49,"Married","United States of America","B: 30,000 - 49,999","HS-grad","Cleric.","4-5",4,0,0,0,1,1,1,0,0,"Can I use my Affinity card to buy bulk purchases and ship them to my mother in Arizona?"
100123,"F",65,"Widowed","United States of America","H: 150,000 - 169,999","HS-grad","Other","9+",3,0,1,0,1,1,1,0,0,"I love shopping with my Affinity Card! Thank you. I used it to purchase a new flat panel monitor. It is amazing. Thank you again!"
100124,"M",64,"Married","United States of America","F: 110,000 - 129,999","HS-grad","Handler","3",3,0,0,0,1,1,1,0,0,"I shop your store a lot.  I love your weekly specials."
100125,"M",28,"NeverM","United States of America","E: 90,000 - 109,999","Bach.","TechSup","1",1,0,0,0,0,1,1,1,0,"I love the new on-line documentation."
100126,"M",35,"Married","United States of America","H: 150,000 - 169,999","HS-grad","Crafts","3",4,0,1,0,1,1,1,0,0,"A great program but I have to complain just a bit. Why do you need to know how many children I have, where I shop, etc.?  Give us a discount for shopping at your store, but don't ask too many personal questions."
100127,"F",24,"NeverM","Argentina","J: 190,000 - 249,999","< Bach.","Other","1",2,0,1,1,0,1,1,1,0,"I am not going to waste my time filling up this three page form. Lousy idea."
