"CUST_ID","CUST_GENDER","AGE","CUST_MARITAL_STATUS","COUNTRY_NAME","CUST_INCOME_LEVEL","EDUCATION","OCCUPATION","HOUSEHOLD_SIZE","YRS_RESIDENCE","AFFINITY_CARD","BULK_PACK_DISKETTES","FLAT_PANEL_MONITOR","HOME_THEATER_PACKAGE","BOOKKEEPING_APPLICATION","PRINTER_SUPPLIES","Y_BOX_GAMES","OS_DOC_SET_KANJI"
101501,"F","4","NeverM","United States of America","J: 190,000 - 249,999","Masters","Prof.","2","3","1","2","2","2","2",1,"1","1"
101502,"M","2","NeverM","United States of America","I: 170,000 - 189,999","Bach.","Sales","2","3","1","2","2","1","2",1,"2","1"
101503,"F","1","NeverM","United States of America","H: 150,000 - 169,999","HS-grad","Cleric.","2","2","1","2","1","1","2",1,"2","1"
101504,"M","4","Married","United States of America","B: 30,000 - 49,999","Bach.","Exec.","3","4","2","1","1","2","2",1,"1","1"
101505,"M","3","NeverM","United States of America","K: 250,000 - 299,999","Masters","Sales","9+","4","2","2","2","1","2",1,"1","1"
101506,"M","3","Married","United States of America","K: 250,000 - 299,999","HS-grad","Other","3","3","1","2","2","2","2",1,"1","1"
101507,"M","2","Married","United States of America","J: 190,000 - 249,999","< Bach.","Sales","3","3","1","2","2","1","2",1,"2","1"
101508,"M","1","NeverM","United States of America","K: 250,000 - 299,999","HS-grad","Sales","2","2","1","2","2","1","2",1,"2","1"
101509,"M","5","Married","Brazil","K: 250,000 - 299,999","Bach.","Other","3","4","1","2","2","2","2",1,"1","1"
101510,"M","2","NeverM","United States of America","L: 300,000 and above","Bach.","Sales","2","3","2","2","2","1","2",1,"2","1"
101511,"M","2","NeverM","United States of America","H: 150,000 - 169,999","Bach.","Sales","2","4","1","2","1","1","2",1,"1","1"
101512,"F","2","NeverM","United States of America","I: 170,000 - 189,999","Profsc","Prof.","2","3","1","2","2","1","2",1,"1","1"
101513,"M","2","Married","United States of America","J: 190,000 - 249,999","Bach.","Sales","3","3","1","2","2","1","2",1,"1","1"
101514,"M","4","NeverM","United States of America","L: 300,000 and above","HS-grad","Sales","2","4","1","2","2","2","2",1,"1","1"
101515,"F","3","NeverM","United States of America","J: 190,000 - 249,999","11th","Other","9+","2","1","2","2","2","1",1,"1","1"
101516,"M","3","Married","United States of America","G: 130,000 - 149,999","< Bach.","Exec.","3","3","1","1","1","1","2",1,"1","1"
101517,"F","3","NeverM","United States of America","I: 170,000 - 189,999","HS-grad","Sales","9+","3","1","2","2","2","2",1,"1","1"
101518,"M","1","NeverM","Argentina","L: 300,000 and above","5th-6th","Farming","6-8","2","1","2","2","1","1",1,"2","1"
101519,"F","4","Divorc.","Brazil","J: 190,000 - 249,999","< Bach.","Sales","9+","4","1","2","2","2","2",1,"1","1"
101520,"M","4","Married","United States of America","B: 30,000 - 49,999","HS-grad","Transp.","3","4","2","1","1","2","2",1,"1","1"
101521,"M","7","Married","United States of America","L: 300,000 and above","HS-grad","Other","3","5","1","2","2","2","2",1,"1","1"
101522,"F","4","NeverM","United States of America","J: 190,000 - 249,999","Masters","Prof.","2","3","2","2","2","2","2",1,"1","1"
101523,"M","1","Mabsent","United States of America","L: 300,000 and above","HS-grad","Sales","2","2","1","2","2","1","2",1,"2","1"
101524,"M","3","Married","United States of America","I: 170,000 - 189,999","HS-grad","Machine","3","4","1","2","2","2","2",1,"1","1"
101525,"F","1","NeverM","United States of America","K: 250,000 - 299,999","HS-grad","Sales","1","1","1","2","2","1","2",1,"2","1"
101526,"M","4","Married","United States of America","I: 170,000 - 189,999","Profsc","Prof.","3","3","2","2","2","2","2",1,"1","1"
101527,"M","1","NeverM","United States of America","J: 190,000 - 249,999","< Bach.","Cleric.","1","1","1","2","2","1","2",1,"2","1"
101528,"M","5","Separ.","United States of America","K: 250,000 - 299,999","HS-grad","Crafts","2","4","1","2","2","2","2",1,"1","1"
101529,"M","1","NeverM","United States of America","K: 250,000 - 299,999","< Bach.","Handler","1","2","1","2","2","1","2",1,"2","1"
101530,"M","3","Married","United States of America","H: 150,000 - 169,999","Bach.","Prof.","3","3","2","2","1","1","2",1,"1","1"
101531,"M","2","Married","Argentina","J: 190,000 - 249,999","< Bach.","Transp.","3","3","1","2","2","1","2",1,"2","1"
101532,"M","3","Divorc.","United States of America","C: 50,000 - 69,999","HS-grad","Machine","2","3","1","1","1","2","2",1,"1","1"
101533,"F","5","Mabsent","United States of America","G: 130,000 - 149,999","Bach.","Cleric.","9+","4","1","1","1","2","2",1,"1","1"
101534,"M","3","Married","Argentina","E: 90,000 - 109,999","Assoc-A","Other","3","3","1","1","1","2","2",1,"1","1"
101535,"F","3","NeverM","United States of America","L: 300,000 and above","Bach.","Prof.","2","3","2","2","2","1","2",1,"1","1"
101536,"M","6","Married","United States of America","E: 90,000 - 109,999","10th","Crafts","3","5","2","1","1","2","1",1,"1","1"
101537,"M","2","Married","United States of America","E: 90,000 - 109,999","< Bach.","Exec.","3","3","1","1","1","1","2",1,"1","1"
